EMCS/WeatherStation/humidity,EMCS/WeatherStation/temperature,EMCS/WeatherStation/windSpeed,MACS/ElevationAxis/position,MACS/AzimuthAxis/position,ECS/DomeRotation/actualPosition
24.0615,7.1666,2.18,74.20328271098217,89.99971429201908,90.0
24.1541,7.1165,1.08,70.95305396342765,89.99971347620263,90.0
24.1915,7.0627,0.74,67.70291011475658,89.99971144572615,90.0
24.2529,7.027,1.92,64.38763466100521,89.99971132788599,90.0
24.2059,6.9931,3.0,61.137477420129706,89.99971074774986,90.0
24.6146,6.9186,3.41,57.95224065605677,89.99971211650856,90.0
24.8621,6.8173,4.06,54.63704709406202,89.99970995912729,90.0
24.6832,6.8532,3.81,51.45187040259279,89.99969499342784,90.0
24.5609,6.9007,3.02,48.20161018510617,89.99971022200148,90.0
24.5964,6.9139,5.76,44.9514102500228,89.99971140946764,90.0
24.2759,6.9712,7.44,41.70121136393717,89.99973020043976,90.0
24.3766,7.0365,5.34,39.99999966976013,89.99971408353265,90.0
24.6189,7.1056,2.9,40.00000208245492,89.99970720348063,90.0
24.7964,7.1507,4.17,39.999994389804854,89.99971824419652,90.0
24.9403,7.1996,4.27,39.99999718713215,89.99971128256286,89.9993
25.1365,7.1935,3.07,40.00000026419218,89.9996905426959,89.9995
25.3711,7.1692,2.7,40.00000900583998,89.99972760795639,89.9993
25.3951,7.1572,2.05,40.000005718980404,89.99971649472347,89.9995
25.1878,7.1888,0.4,40.00000442521653,89.99971497186611,90.0
24.9125,7.2109,1.01,39.99999687243283,89.99971471805655,90.0002
24.7762,7.2232,2.6,39.99999176731051,89.99971181737585,90.0007
24.7441,7.2359,0.69,39.999997082232376,89.99970967812385,90.0007
24.7796,7.2479,5.8,39.99999687243283,89.99971150917854,90.0007
24.7945,7.2703,2.14,40.00000480984904,89.99970020558845,90.0002
24.7801,7.2909,2.0,40.00000351608516,89.99971324958695,90.0005
24.8017,7.309,2.35,40.00000124325673,89.99971138227376,90.0002
24.7974,7.3173,0.99,40.00000274682015,89.99971625904317,90.0007
24.9739,7.2786,6.04,40.00000659314519,89.99970976877012,90.0005
25.3159,7.1695,3.95,40.000003865751076,89.99971360310741,90.0009
25.5236,7.0677,3.79,40.000002292254464,89.99971417417892,90.0009
25.5711,7.0048,3.96,40.000001557956054,89.99970928834487,90.0011
25.5078,7.0259,4.77,40.00000071875786,89.99971440985922,90.0013
25.1792,7.0958,3.47,39.99999596330146,89.9996950840741,90.0005
25.1394,7.1401,4.52,39.999992606508705,89.99972508799003,90.0007
25.2344,7.1445,3.01,39.999996068201234,89.9997121980902,90.0
25.4205,7.0914,3.36,39.99999547376918,89.99971012229058,90.0013
